"did;query;name;aas_spec;qualifier;category;datatype;unit;metalabel"
"285;sound radiation from the duct for the outlet openings: A-weighted as data for single units and weighted in the octave bands from 125 Hz to 8 kHz;Duct sound power for exhaust side;Property;SUP;Constant;REAL_MEASURE;dB(A);37"
"286;sound radiation from the casings: A-weighted as data for single units and weighted in the octave bands from 125 Hz to 8 kHz;sound radiation from the casings;Property;SUP;Constant;REAL_MEASURE;dB;37"
"287;Strength of the housing of AHU, defined by the maximum deflection of the walls.;Casing strength classification of air handling units (maximum relative deflection);Submodel Element Collection;SUP;;ENUM_CODE;;70"
"288;Greatest deformation of the walls of a housing under negative pressure (indentation) or overpressure (bulge). It is given as the measured distance difference between a reference plane and the point of greatest deflection with and without pressure.;maximum relative deflection;Property;SUP;Constant;REAL_MEASURE;m/m;42"
"289;Tightness of the housing of AHU devices at a test vacuum of 400 Pa, defined by the upper limit of the leakage rate f_max.;Casing air leakage classes of air handling units;Submodel Element Collection;SUP;;ENUM_CODE;;70"
"290;Standard for airtightness, expressed as leakage air flow in relation to the envelope surface unit.;Maximum leakage rate;Property;SUP;Constant;REAL_MEASURE;m³/m²s;42"
"291;This characteristic defines the classification of the heat transfer coefficient of the housing of the AHU.;Classification of thermal transmittance U of the casing of air handling units;Submodel Element Collection;SUP;Constant;ENUM_CODE;;72"
"292;The calculated thermal transmittance at a stationary temperature difference of 20 K with the outer housing surface as a basis.;Thermal transmittance;Property;SPE;Parameter;REAL_MEASURE;W(m²*K);56"
"293;This characteristic defines the classification of the thermal bridge factor of the housing of the AHU.;Classification of thermal bridging factor of the casing;Submodel Element Collection;SUP;;ENUM_CODE;;70"
"294;Ratio between the lowest temperature difference between any point on the outer surface and the mean air-to-air temperature difference.;Thermal bridging factor;Property;SPE;Parameter;REAL_MEASURE;-;68"
"295;Optimal volume flow through the component;Optimum volumetric flow;Property;SPE;Parameter;REAL_MEASURE;m³/s;30"
"296;Minimum permissible volume flow through the component;Minimum volumetric flow;Property;SPE;Parameter;REAL_MEASURE;m³/s;30"
"297;Maximum permissible volume flow through the component;Maximum volumetric flow;Property;SPE;Parameter;REAL_MEASURE;m³/s;30"
"298;Volume flow through the component in the respective operating points of the AHU system;Volumetric flow at the operating points;Property;SPE;Parameter;REAL_MEASURE;m³/s;30"
"299;Nominal volume flow of the component;Nominal volume flow;Property;SUP;Constant;REAL_MEASURE;m³/s;39"
"300;Mass of the component;Weight;Property;SUP;Constant;REAL_MEASURE;kg;57"
"301;ten times the decimal logarithm of the ratio of the respective sound power P to the specified reference sound power P0;Sound power level;Property;OP;Variable;REAL_MEASURE;dB;13"
"302;Frequency-dependent sound power level;Octave sound power level;Property;OP;Variable;REAL_MEASURE;dB;13"
"303;sound power level obtained using the A-frequency-weighting;A-rated sound power level;Property;OP;Variable;REAL_MEASURE;dB(A);13"
"304;Air flow through the component divided by the area of ​​the inlet cross section;Mass flow density;Property;SPE;Parameter;REAL_MEASURE;kg/(s*m²);30"
"305;Density of the fluid handled, calculated from the absolute pressure and the static temperature;medium airdensity at component inlet;Property;SPE;Parameter;REAL_MEASURE;kg/m³;58"
"306;Velocity in the inflow cross section of the component;face velocity;Property;OP;Variable;REAL_MEASURE;m/s;21"
"307;Maximum recommended flow velocity;maximum face velocity;Property;SUP;Parameter;REAL_MEASURE;m/s;59"
"308;Component height;Height;Property;SUP;Constant;REAL_MEASURE;m;41"
"309;Width of the component;Width;Property;SUP;Constant;REAL_MEASURE;m;41"
"310;Component length;Length;Property;SUP;Constant;REAL_MEASURE;m;41"
"311;Width of the area that is blown by the air;Width of air inflow surface;Property;SUP;Constant;REAL_MEASURE;m;41"
"312;Height of the area that is blown by the air;Height of air inflow surface;Property;SUP;Constant;REAL_MEASURE;m;41"
"313;Cross section in the inlet air into the component;Inlet cross-section;Property;SUP;Constant;REAL_MEASURE;m²;60"
"314;Cross section in the air outlet into the component;Outlet cross-section;Property;SUP;Constant;REAL_MEASURE;m²;60"
"315;Cross-section of the damper through which air flows;Ratio of effective cross-section over effective aperture;Property;SUP;Constant;REAL_MEASURE;m²;60"
"316;Pressure difference generated by the component;Pressure difference across the component;Property;OP;Variable;REAL_MEASURE;Pa;19"
"317;This property describes the accessories suitable for the component.;General accessories;File;SUP;;SET OF STRINGS;;2"
"318;Maximum connected mains voltage;Upper connection voltage;Property;SPE;Parameter;REAL_MEASURE;V;61"
"319;Minimum mains voltage connected;Lower connection voltage;Property;SPE;Parameter;REAL_MEASURE;V;61"
"320;This property defines the maximum flowing current;Maximum Current;Property;SPE;Parameter;REAL_MEASURE;A;61"
"321;Maximum fan power consumption;maximum power consumption;Property;SPE;Parameter;REAL_MEASURE;W;62"
"322;The overall efficiency of the 𝜂fan fan is based on the efficiency of the individual components (impeller, motor, belt drive, speed control, etc.);Efficiency of the fan;Property;SUP;Constant;REAL_MEASURE;%;45"
"323;Power consumption of the fan motor (for each measuring point);electric motor active power;Property;OP;Variable;REAL_MEASURE;W;18"
"324;This property defines classes of power consumption depending on Pmax;Classes of power consumption of drives;Submodel Element Collection;SUP;;ENUM_CODE;;70"
"325;This feature defines the types of fan speed control.;Type of fan speed control;Submodel Element Collection;SPE;;ENUM_CODE;;71"
"326;Represents the pressure increase plotted against the volume flow;characteristic curve of the fan;File;SUP;;MEDIA_TYPE;;83"
"327;Intersection of system characteristic and fan characteristic. The pressure increase generated at the operating point is exactly compensated by the pressure losses generated by the system;Working point of the fan;File;OP;;;;1"
"328;Change in air temperature between the fan inlet and outlet.;Temperature differential between the fan inlet and outlet;Property;OP;Variable;REAL_MEASURE;K;22"
"329;Fan shaft power is the mechanical power supplied to the fan shaft.;Power requirement  at the shaft of the fan;Property;OP;Variable;REAL_MEASURE;Watt;18"
"330;Ratio of absorbed electric fan power to the delivered air volume flow;specific fan performance;Property;OP;Variable;REAL_MEASURE;Ws/m³;27"
"331;This property defines the efficiency of the controller;Efficiency of the control;Property;SUP;Constant;REAL_MEASURE;%;45"
"332;This property defines the efficiency of the belt drive;Efficiency of the belt drive;Property;SUP;Constant;REAL_MEASURE;%;45"
"333;the total efficiency of the fan based on the total pressure;total efficiency based on total pressure;Property;OP;Variable;REAL_MEASURE;%;20"
"334;is the total efficiency of the fan based on the static pressure.;total efficiency based on static pressure;Property;OP;Variable;REAL_MEASURE;%;20"
"335;minimum number of rotations of the fan;minimum fan speed;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"336;maximum number of rotations of the fan;maximum fan speed;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"337;Number of rotations of the fan under nominal conditions;Nominal speed of fan;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"338;Number of rotations of the motor under nominal conditions;Nominal speed of motor;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"339;Number of rotations of the fan in the operating points;Speed at the working points;Property;SPE;Parameter;REAL_MEASURE;1/s;63"
"340;Pressure difference between the inlet and outlet cross-sections of the fan;total pressure increase between fan inlet and oulet;Property;OP;Variable;REAL_MEASURE;Pa;19"
"341;Pressure difference between the inlet and outlet cross-section of the fan in the operating points;differential pressure at the operating points;Property;SPE;Parameter;REAL_MEASURE;;68"
"342;Maximum static pressure difference between the inlet and outlet cross-section above the fan;Maximum static pressure increase;Property;SPE;Parameter;REAL_MEASURE;Pa;32"
"343;Static pressure difference between the inlet and outlet cross-section above the fan;static pressure difference through the fan;Property;OP;Variable;REAL_MEASURE;Pa;19"
"344;Maximum dynamic pressure difference between the inlet and outlet cross-section above the fan;Maximum dynamic pressure increase;Property;SPE;Parameter;REAL_MEASURE;Pa;32"
"345;This property defines the Speed of Impeller;Speed of Impeller;Property;OP;Variable;REAL;;27"
"346;maximum diameter measured over the tips of the blades of the impeller;impeller tip diameter;Property;SUP;Constant;REAL_MEASURE;m;41"
"347;Lowest permissible air temperature that the fan can promote;Minimum medium delivery temperature;Property;SPE;Parameter;REAL_MEASURE;K;34"
"348;Highest permissible air temperature that the fan can promote;Maximum medium delivery temperature;Property;SPE;Parameter;REAL_MEASURE;°C;34"
"349;This characteristic defines the frequency of the fan;Frequency;Property;SUP;Constant;REAL_MEASURE;Hz;40"
"350;This property defines the type of connection;Identifier for method of connection;Submodel Element Collection;SPE;;ENUM_CODE;;71"
"351;This property defines the Number of Poles;Number of poles;Property;SUP;Constant;REAL;;49"
"352;This property defines the size of the motor.;Size of motor;Property;SUP;Constant;REAL;;49"
"353;This property defines types of fan according to the fluid path within the impeller;Types of fan according to the fluid path within the impeller;Submodel Element Collection;SUP;;ENUM_CODE;;70"
"354;This property defines the design of the fan;Design;File;SUP;;ENUM_CODE;;79"
"355;This property defines the protection class of the fan;Protection class;Submodel Element Collection;SUP;;ENUM_CODE;;70"
"356;This property defines the kind of power transfer from motor to the fan.;Power transfer;Submodel Element Collection;SUP;;ENUM_CODE;;70"
"357;This Porperty defines the method of fan control;Method of fan control;Submodel Element Collection;SPE;;ENUM_CODE;;71"
"358;This property defines the Material of the fan;Material of the fan;File;SUP;;ENUM_CODE;;79"
"359;This property defines the surface of the fan.;Surface of the fan;Submodel Element Collection;SUP;;ENUM_CODE;;70"
"360;This property defines the direction of the air flow through the component;Direction of the air flow;Property;SPE;Parameter;ENUM_CODE;;36"
"361;This property defines the material type of the heater or cooler;Material type;Submodel Element Collection;SUP;;ENUM_CODE;;70"
"362;This property defines the coating of the heater or cooler;Coating of the heater;Submodel Element Collection;SUP;;;;52"
"363;This property defines the coating of the cooler;Coating of the cooler;Submodel Element Collection;SUP;;;;52"
"364;This property defines the operating mode of the heater or cooler;Operating mode;Submodel Element Collection;SPE;;ENUM_CODE;;71"
"365;This Propety defines the design type of the cooling/heating coils;Design type of the cooling/heating coils;File;SUP;;ENUM_CODE;;79"
"366;This property defines the connection types of the heater or cooler.;Connection types;Submodel Element Collection;SUP;;ENUM_CODE;;70"
"367;This property defines the type of medium within the heat exchanger;Type of Medium;Submodel Element Collection;SUP;;STRING;;76"
"368;heat flow emitted through the air by means of a temperature drop;sensitive cooling capacity (dry air);Property;SUP;Constant;REAL_MEASURE;W;43"
"369;Latent heat flow, which is released by the condating, contained in the air steam;lantent cooling capacity;Property;SUP;Constant;REAL_MEASURE;Watt;43"
"370;Sum of the sensible and latent performance measured at the same time. It is equal to the change in air contained in the air as it passes through the air cooler or air heater (reduced by the enthalpy flow extracted from the condensed water);Total cooling or heating capacity on the air side;Property;SUP;Constant;REAL_MEASURE;W;43"
"371;Heat flow absorbed or given off by the medium, expressed as the product of the mass flow of the medium and the difference between the specific enthalpies at the outlet and inlet connection of the air cooler or air heater;Total cooling or heating capacity on the medium side;Property;SUP;Constant;REAL_MEASURE;W;43"
"372;Mass of the condensate draining off at the cooler per unit of time;Loss of condensation water in outlet;Property;SPE;Parameter;REAL_MEASURE;kg/s;30"
"373;Difference between the total cooling capacity on the air side and the side of the medium, which is equal to the specific Enthalpy of the condensate multiplied by the mass flow of the condensate;Enthalpy flow of the condensate;Property;SPE;Parameter;REAL_MEASURE;J/s;62"
"374;Mass of the oil in the refrigerant based on the total mass;Oil content;Property;SPE;Parameter;REAL_MEASURE;%;33"
"375;This property defines the type of oil in the refrigerant;Type of oil;Submodel Element Collection;SUP;Constant;STRING;;73"
"376;Dew point temperature of the refrigerant, which corresponds to the evaporation pressure;Evaporation temperature;Property;SPE;Parameter;REAL_MEASURE;K;34"
"377;Temperature corresponding to the absolute pressure of the refrigerant at the outlet of the condenser;Boiling point temperature;Property;SPE;Parameter;REAL_MEASURE;K;34"
"378;Pressure of the refrigerant at the exit port of the calorimeter (only with the low pressure calorimeter method);Evaporation pressure;Property;SPE;Parameter;REAL_MEASURE;Pa;32"
"379;Dew point temperature of the refrigerant, which corresponds to the condensing pressure;Condensation temperature;Property;SPE;Parameter;REAL_MEASURE;°C;34"
"380;Pressure of the refrigerant at the inlet port of the condenser;Condesation pressure;Property;SPE;Parameter;REAL_MEASURE;Pa;32"
"381;actual temperature of the refrigerant vapor at the outlet port of the air cooler and at the inlet port of the air heater;Superheat temperature;Property;SPE;Parameter;REAL_MEASURE;K;34"
"382;Temperature of the liquid refrigerant at the inlet to the throttle device (air cooler) or at the outlet port of the air heater;Subcooling temperature;Property;SPE;Parameter;REAL_MEASURE;K;34"
"383;Material of the heat exchanger pipes;Pipe material;Submodel Element Collection;SUP;;ENUM_CODE;;70"
"384;Number of pipes arranged in a plane at right angles to the direction of the air flow;Number of rows of pipes;Property;SUP;Constant;INT;;81"
"385;Number of pipes arranged in a plane parallel to the direction of the air flow;Number of layers of pipes;Property;SUP;Constant;INT;;81"
"386;Material of the heat exchanger fins;Fin material;Submodel Element Collection;SUP;;ENUM_CODE;;70"
"387;Distance between two heat exchanger fins;Fin spacing;Property;SUP;Constant;REAL_MEASURE;m;41"
"388;Heat exchanger fin thickness;Fin thickness;Property;SUP;Constant;REAL_MEASURE;m;41"
"389;Pipe size, which is connected to the heat exchanger at the medium inlet;Connection size of fluid/steam inlet;Property;SUP;Constant;INT;;81"
"390;Pipe size, which is connected to the heat exchanger at the medium outlet;Connection size of fluid/steam outlet;Property;SUP;Constant;INT;;81"
"391;Content of the medium in the heat exchanger pipes;Volume of fluid/steam;Property;SUP;Constant;REAL_MEASURE;m³;65"
"392;Highest permissible operating pressure for which the component on the medium side is suitable;Max. operating pressure of fluid/steam;Property;SUP;Constant;REAL_MEASURE;Pa;44"
"393;Highest permissible temperature for which the component on the medium side is suitable;Max. temperature of fluid/steam;Property;SUP;Constant;REAL_MEASURE;°C;46"
"394;Highest permissible air temperature for which the component is suitable;Max. air inlet temperature;Property;SUP;Constant;REAL_MEASURE;K;46"
"395;Arrangement of the heat exchanger pipes within the component;Layout of pipes;File;SUP;;ENUM_CODE;;79"
"396;Distance between two heat exchanger pipes perpendicular to the air flow;Diagonal spacing of pipes;Property;SUP;Constant;REAL_MEASURE;m;41"
"397;Distance between two heat exchanger pipes in the direction of the air flow;pipe spacing in the direction of the air flow;Property;SUP;Constant;REAL_MEASURE;m;41"
"398;Outside diameter of the pipe;outer pipe diameter;Property;SUP;Constant;REAL_MEASURE;m;41"
"399;Wall thickness of the pipe. Results from the difference between the inner pipe radius and the outer pipe radius.;Strength of pipe wall;Property;SUP;Constant;REAL_MEASURE;m;41"
"400;Heat flow that is passed through the pipe material, depending on the temperature difference;Thermal conductivity of pipe material;Submodel Element Collection;SUP;Constant;REAL_MEASURE;W/(m*K);74"
"401;Heat flow that is passed through the fin material, depending on the temperature difference;Thermal conductivity of ribbed material;Submodel Element Collection;SUP;Constant;REAL_MEASURE;W/(m*K);74"
"402;Deposition of a coating of undesirable material on the inside of the pipe with low thermal conductivity on heat transfer surfaces.;Internal fouling factor;Property;OP;Variable;REAL_MEASURE;m²*K/W;69"
"403;Deposition of a coating of undesirable material on the outside of the pipe with low thermal conductivity on heat transfer surfaces.;External fouling factor;Property;OP;Variable;REAL_MEASURE;m²*K/W;69"
"404;Correction factor for the layout of the pipes within the heat exchanger;Factor for layout of pipes;Property;SUP;Constant;REAL;;49"
"405;Correction factor for the ratio of the difference between entry and Outlet temperature difference and the logarithmic Quotient of these two temperature differences;Correction factor for average logarithmic temperature differential;Property;SPE;Parameter;REAL;;68"
"406;This property defines the waterways within the air heater;Water routes;File;SUP;;SET OF STRINGS;;2"
"407;This property defines the category of heat recovery;Category of heat recovery system;Submodel Element Collection;SUP;;ENUM_CODE;;70"
"408;This property defines the system of heat recovery;Heat recovery system;Submodel Element Collection;SUP;;ENUM_CODE;;70"
"409;Electrical power consumption caused by the pressure losses of the heat recovery system at standard volume flow;Electrical power consumption caused by the heat recovery system;Property;SPE;Parameter;REAL_MEASURE;Watt;62"
"410;Sum of the pressure losses of the heat recovery on the supply and exhaust air side at standard volume flow;pressure loss of the heat recovery system;Property;SPE;Parameter;REAL_MEASURE;Pa;32"
"411;maximum pressure loss of heat recovery without condensation;maximum dry pressure losses;Property;SPE;Parameter;REAL_MEASURE;Pa;32"
"412;mass flow of air specified by the manufacturer;Rated air mass flow;Property;SUP;Constant;REAL_MEASURE;kg/s;39"
"413;Relationship between the change in humidity of the outside air of a heat recovery system and the maximum possible change in humidity and the difference between the outside air humidity and the outgoing air humidity with a balanced mass flow;Humidity differential;Property;OP;Variable;REAL;;27"
"414;Quotient of heat recovery performance and electrical power consumption caused by the pressure loss of the heat recovery;Coefficient of performance;Property;SPE;Parameter;REAL;;68"
"415;Ratio of work generated by the heat recovery system to the electrical work caused by the heat recovery system;Seasonal energy efficiency ratio;Property;SPE;Parameter;REAL;;68"
"416;Relationship between the temperature change in the outside air of a heat recovery system and the maximum possible temperature change and the difference between the outside air temperature and the exhaust air temperature with a balanced mass flow;Temperature differential;Property;SPE;Parameter;REAL;;68"
"417;Characteristic value consisting of the dry degree of temperature change and energy efficiency;Energy efficiency;Property;SPE;Parameter;REAL;;68"
"418;Minimum heat recovery rate based on the annual running time of the system and the maximum proportion of outside air required in winter operation;minimum dry temperture differential;Property;SPE;Parameter;REAL;;68"
"419;Transfer of exhaust air to the supply air side;Exhaust air transfer ratio;Property;SPE;Parameter;REAL;;68"
"420;Ratio of the mass flow of the incoming outside air and the mass flow of the outgoing supply air;Outside air correction factor;Property;SPE;Parameter;REAL;;68"
"421;Proportion of the heat recovery system in the total heat requirement of the air conditioning system;Average annual coverage;Property;SPE;Parameter;REAL;;68"
"422;temperature differential related to the entire year;Annual temperature differential;Property;SPE;Parameter;REAL;;68"
"423;Efficiency related to the entire year;Annual efficiency;Property;SPE;Parameter;REAL;;68"
"424;Mass flow increase in the exhaust air flow caused by leaks compared to the leak-free system.;leakage index extract airflow;Property;SPE;Parameter;REAL;;68"
"425;Leakage between the air flowing through the heat recovery system and the environment.;External leak;Property;OP;Variable;REAL_MEASURE;kg/s;15"
"426;Indoor air leakage from the extract to the supply air side of a heat recovery system.;Internal exhaust air leak;Property;OP;Variable;REAL_MEASURE;kg/s;15"
"427;This property indicates whether there is an anti-icing protection.;icing protection;Submodel Element Collection;SUP;;BOOLEAN;;75"
